Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:22,28.7,0.107,0.113,0.11,0.111,0.111,0.109,0.111,0.11,0.111,0.11,0.116,0.116,0.111,0.112,0.113,0.114,0.113,0.113,0.117,0.113,0.12,0.117,0.126,0.132,0.111,0.117,0.114,0.111,0.112,0.112,0.115,0.114,0.116,0.121,0.128,0.13,0.112,0.113,0.114,0.112,0.12,0.112,0.113,0.114,0.114,0.119,0.123,0.129,0.11,0.112,0.112,0.112,0.112,0.112,0.116,0.117,0.117,0.121,0.126,0.149,0.11,0.111,0.111,0.112,0.114,0.111,0.112,0.113,0.118,0.118,0.125,0.136,0.113,0.116,0.116,0.113,0.111,0.113,0.113,0.114,0.117,0.117,0.121,0.128,0.111,0.115,0.115,0.11,0.11,0.111,0.113,0.112,0.113,0.118,0.123,0.134
0:30:22,37,0.105,0.112,0.11,0.111,0.111,0.109,0.11,0.109,0.11,0.109,0.116,0.116,0.117,0.111,0.113,0.115,0.113,0.116,0.117,0.113,0.12,0.119,0.127,0.133,0.11,0.117,0.115,0.11,0.112,0.112,0.115,0.114,0.116,0.123,0.129,0.131,0.111,0.112,0.113,0.112,0.12,0.112,0.116,0.115,0.114,0.122,0.125,0.132,0.111,0.113,0.113,0.113,0.112,0.111,0.116,0.116,0.113,0.121,0.126,0.233,0.111,0.111,0.111,0.112,0.114,0.11,0.112,0.113,0.119,0.118,0.129,0.134,0.113,0.116,0.116,0.113,0.11,0.113,0.113,0.113,0.116,0.117,0.121,0.127,0.109,0.116,0.114,0.11,0.11,0.112,0.113,0.112,0.113,0.12,0.123,0.138
1:00:22,37,0.104,0.111,0.109,0.11,0.11,0.108,0.11,0.109,0.11,0.108,0.112,0.118,0.118,0.111,0.112,0.115,0.114,0.116,0.117,0.114,0.12,0.119,0.129,0.13,0.11,0.117,0.115,0.111,0.112,0.111,0.114,0.114,0.117,0.124,0.127,0.127,0.11,0.111,0.113,0.112,0.12,0.112,0.116,0.115,0.115,0.123,0.127,0.131,0.109,0.112,0.112,0.113,0.111,0.112,0.117,0.117,0.113,0.12,0.121,0.133,0.11,0.112,0.111,0.112,0.114,0.111,0.112,0.113,0.119,0.117,0.121,0.129,0.112,0.116,0.116,0.113,0.11,0.113,0.113,0.114,0.117,0.115,0.116,0.125,0.109,0.116,0.112,0.109,0.11,0.111,0.112,0.111,0.111,0.114,0.118,0.13
1:30:22,37,0.105,0.112,0.11,0.111,0.111,0.109,0.111,0.108,0.109,0.109,0.112,0.117,0.11,0.111,0.114,0.118,0.115,0.117,0.118,0.116,0.121,0.119,0.126,0.126,0.111,0.117,0.115,0.112,0.114,0.113,0.116,0.116,0.117,0.123,0.125,0.125,0.111,0.114,0.115,0.113,0.121,0.114,0.118,0.116,0.115,0.122,0.126,0.131,0.11,0.113,0.114,0.114,0.113,0.114,0.118,0.117,0.115,0.119,0.123,0.132,0.11,0.113,0.112,0.113,0.115,0.112,0.114,0.116,0.12,0.118,0.124,0.131,0.113,0.117,0.117,0.115,0.111,0.115,0.115,0.115,0.118,0.117,0.115,0.126,0.11,0.116,0.114,0.111,0.11,0.112,0.113,0.111,0.11,0.114,0.118,0.132
2:00:22,37,0.108,0.115,0.113,0.115,0.114,0.114,0.113,0.112,0.112,0.111,0.115,0.12,0.114,0.114,0.115,0.12,0.117,0.121,0.121,0.117,0.121,0.119,0.125,0.125,0.112,0.119,0.117,0.115,0.116,0.116,0.117,0.117,0.118,0.123,0.125,0.124,0.112,0.115,0.117,0.116,0.123,0.116,0.119,0.117,0.115,0.122,0.125,0.131,0.111,0.116,0.115,0.117,0.116,0.116,0.121,0.118,0.117,0.12,0.123,0.134,0.111,0.116,0.114,0.116,0.117,0.115,0.117,0.118,0.122,0.12,0.125,0.133,0.115,0.119,0.12,0.117,0.113,0.118,0.117,0.117,0.119,0.117,0.114,0.127,0.111,0.118,0.116,0.113,0.113,0.114,0.113,0.112,0.111,0.114,0.119,0.132
2:30:22,37,0.116,0.126,0.122,0.126,0.125,0.125,0.123,0.121,0.121,0.12,0.123,0.128,0.11,0.113,0.115,0.12,0.116,0.121,0.12,0.116,0.12,0.118,0.124,0.125,0.111,0.119,0.118,0.114,0.116,0.115,0.117,0.117,0.117,0.122,0.123,0.122,0.112,0.115,0.117,0.116,0.124,0.116,0.119,0.116,0.114,0.121,0.124,0.131,0.112,0.116,0.115,0.116,0.116,0.116,0.12,0.117,0.116,0.119,0.124,0.133,0.112,0.115,0.114,0.116,0.118,0.115,0.117,0.118,0.121,0.119,0.125,0.133,0.115,0.118,0.12,0.117,0.113,0.118,0.117,0.116,0.118,0.116,0.114,0.127,0.112,0.118,0.116,0.113,0.113,0.114,0.113,0.112,0.111,0.114,0.119,0.132
3:00:22,37,0.138,0.155,0.15,0.159,0.156,0.154,0.15,0.15,0.147,0.143,0.146,0.151,0.114,0.113,0.114,0.119,0.117,0.12,0.119,0.115,0.118,0.117,0.123,0.124,0.111,0.118,0.117,0.114,0.116,0.114,0.116,0.116,0.116,0.121,0.122,0.122,0.112,0.115,0.117,0.116,0.123,0.115,0.118,0.115,0.113,0.121,0.123,0.131,0.112,0.116,0.115,0.116,0.115,0.115,0.119,0.117,0.115,0.119,0.124,0.132,0.112,0.115,0.114,0.115,0.117,0.114,0.116,0.118,0.12,0.119,0.124,0.133,0.115,0.117,0.12,0.117,0.113,0.118,0.116,0.115,0.117,0.116,0.114,0.126,0.112,0.118,0.116,0.113,0.113,0.113,0.112,0.111,0.11,0.114,0.118,0.133
3:30:22,37,0.19,0.216,0.209,0.216,0.216,0.212,0.205,0.205,0.203,0.197,0.196,0.199,0.11,0.112,0.114,0.119,0.116,0.119,0.118,0.113,0.117,0.116,0.122,0.124,0.111,0.118,0.117,0.113,0.115,0.114,0.116,0.115,0.116,0.121,0.121,0.122,0.112,0.114,0.116,0.115,0.123,0.115,0.118,0.114,0.113,0.12,0.123,0.13,0.111,0.115,0.115,0.115,0.114,0.115,0.118,0.116,0.115,0.118,0.124,0.132,0.111,0.114,0.115,0.115,0.117,0.113,0.115,0.117,0.12,0.118,0.124,0.133,0.114,0.117,0.119,0.117,0.112,0.118,0.115,0.114,0.117,0.116,0.114,0.126,0.11,0.118,0.115,0.112,0.112,0.112,0.112,0.11,0.11,0.113,0.118,0.132
4:00:22,37,0.271,0.313,0.309,0.328,0.323,0.315,0.302,0.31,0.295,0.278,0.273,0.275,0.12,0.112,0.113,0.118,0.115,0.119,0.118,0.113,0.117,0.116,0.122,0.124,0.11,0.118,0.116,0.112,0.115,0.113,0.115,0.115,0.115,0.121,0.121,0.121,0.111,0.114,0.116,0.115,0.122,0.114,0.117,0.114,0.113,0.12,0.122,0.13,0.111,0.115,0.115,0.115,0.114,0.114,0.117,0.115,0.114,0.118,0.124,0.132,0.111,0.113,0.114,0.115,0.117,0.113,0.114,0.116,0.119,0.118,0.124,0.134,0.113,0.116,0.118,0.117,0.112,0.117,0.115,0.114,0.116,0.115,0.114,0.126,0.11,0.117,0.114,0.112,0.112,0.111,0.111,0.11,0.11,0.113,0.118,0.132
4:30:22,37,0.382,0.438,0.432,0.454,0.443,0.428,0.403,0.421,0.394,0.382,0.378,0.371,0.11,0.112,0.113,0.117,0.115,0.118,0.117,0.113,0.117,0.116,0.122,0.123,0.11,0.117,0.116,0.112,0.115,0.113,0.115,0.115,0.115,0.12,0.12,0.121,0.111,0.113,0.116,0.114,0.122,0.114,0.117,0.114,0.113,0.12,0.122,0.129,0.11,0.114,0.114,0.115,0.114,0.114,0.117,0.115,0.114,0.118,0.124,0.132,0.111,0.112,0.114,0.114,0.116,0.112,0.114,0.115,0.119,0.118,0.124,0.134,0.113,0.116,0.118,0.116,0.111,0.116,0.114,0.113,0.116,0.115,0.114,0.126,0.11,0.117,0.114,0.111,0.111,0.111,0.111,0.11,0.11,0.113,0.118,0.132
